,review_id,star_rating,helpful_votes,total_votes,vine,verified_purchase
0,R1FBO737KD9F2N,5,19,23,N,Y
1,R227GSNWI6BSZV,1,20,20,N,Y
2,R3SJTYZBYBG4EE,4,99,99,N,Y
3,R248FG65D76D5Y,1,42,53,N,Y
4,R3B6BXFKGW52SG,1,32,32,N,Y
5,ROTIV4VYL31R4,5,26,26,N,Y
6,R3VQ59LD2LSKY7,5,20,25,N,Y
7,RIIGLD8JB7PX8,1,32,35,N,Y
8,R3MUBV21QV0IJK,3,77,84,N,Y
9,R1V5W0X6BKIJYA,5,129,132,N,Y
10,R274AKHXHYGIN6,5,87,100,N,N
11,R184FOUNZZ7KO8,5,15,20,Y,N
12,R88RERIQDYDT5,2,17,26,N,N
13,RLYK7DY9F6RUP,4,17,20,N,Y
14,R3T31I7IKQ5LFQ,3,52,55,N,Y
15,RZETLPHZJFYB8,5,23,24,N,Y
16,R1BG5NL9AX68QE,1,23,29,N,Y
17,R1Y05HDL2AWCSA,5,140,145,N,Y
18,R20EPERDBI56K8,1,30,37,N,Y
19,RPTN47ZNQBPWE,5,20,24,N,Y
20,R3VJ8U3A8MT8II,5,17,21,N,Y
21,R3FMODXVNCITMO,1,70,72,N,N
22,R3PZT6IB5CSSP2,5,49,53,N,Y
23,R28EFHFY2ZG6F9,5,41,48,N,Y
24,R1R4Y6QJN7B98D,3,23,26,N,Y
25,RBLD20LL9DQYP,3,52,60,N,N
26,R82QWN2X2OCHB,5,176,208,Y,N
27,RCYUEJJZFUFN5,5,44,46,N,Y
28,R1WBEAFEBKTSLD,1,250,254,N,Y
29,R176QMCCCHPHI9,5,24,34,N,Y
30,RK518XBOLTJC9,5,45,51,N,Y
31,R1PBOAQYE8AM2Y,5,57,68,N,Y
32,R27R4CKOHB9KY5,1,241,254,N,N
33,R1KJHW982Z8752,4,36,44,N,N
34,R3W021RUGA8XHQ,2,40,43,N,Y
35,R2W8A4VRV4U3R2,5,22,22,N,Y
36,R63HHWNP0YLB5,1,41,47,N,Y
37,R2KJH45ON715D1,1,25,27,N,Y
38,R3E6NSP0TY527M,1,30,41,N,Y
39,R3BJRVC8NOPL7E,5,18,20,N,N
40,R3I0YBN2E2E2K1,1,75,78,N,N
41,R20L5IJ5DI1OFJ,5,27,28,N,Y
42,R37J2T4W2EMTUT,2,35,46,N,N
43,R3OD3BMAM5WWNF,5,38,39,N,N
44,RS22B9GDGBXW3,1,17,26,N,Y
45,R28FDO2W3JXKA9,2,11,20,N,Y
46,R2NZAZWXYPJCL5,2,17,25,N,Y
47,R22MCN3J62RS0V,1,28,31,N,Y
48,R2QJSMBJBUVRQN,1,164,207,N,Y
49,R1QIQLZL2LGWPO,5,58,60,N,N
50,RLBP10MQEOF4E,4,107,125,N,N
51,R3KIR3RLP0O1OV,2,32,33,N,Y
52,R1632BH5CUS6BQ,5,576,617,N,Y
53,R3I4K38JCIWVBH,4,188,191,N,Y
54,R2PM3CR6B42RZ9,1,14,25,N,Y
55,R1YI4SXAAZCWB2,1,18,21,N,Y
56,R1UJI2VS55U3V9,1,164,206,N,Y
57,R8L2BSBQD95YC,5,19,22,N,Y
58,R3NBIRVRAT8ZDM,4,33,37,N,Y
59,RZBWA2YX968I3,2,27,28,N,Y
60,R1RHC7U80WI500,5,36,40,N,Y
61,R1PZV3R12JT7B9,3,18,34,N,Y
62,R1ZJJZM5UZX670,1,34,36,N,Y
63,RWQN86KPI7MGQ,1,34,48,N,Y
64,RD5SCGH4J31Z0,2,33,36,N,N
65,R384OCEVT08498,5,19,21,N,Y
66,R2AWRMEDS7RP0,5,27,29,N,Y
67,R3H7PX5VOGLC29,5,26,27,N,Y
68,R1J72BUD7RYMI5,2,22,24,N,N
